['Date', 'ES3.SI', 'D05.SI', 'VWRA.L', 'BTC-USD']
20241211.0000,3.7857,43.6800,143.4200,101173.0312
20241212.0000,3.7984,43.8000,143.2000,100043.0000
20241213.0000,3.8102,43.7400,142.4600,101459.2578
20241214.0000,3.8102,43.7400,142.4600,101372.9688
20241215.0000,3.8102,43.7400,142.4600,104298.6953
20241216.0000,3.8150,44.3100,142.7800,106029.7188
20241217.0000,3.8004,44.2100,142.3000,106140.6016
20241218.0000,3.7799,43.3700,142.2400,100041.5391
20241219.0000,3.7613,43.4000,138.9000,97490.9531
20241220.0000,3.7252,42.8200,139.5400,97755.9297
20241221.0000,3.7252,42.8200,139.5400,97224.7266
20241222.0000,3.7252,42.8200,139.5400,95104.9375
20241223.0000,3.7515,43.3600,139.1000,94686.2422
20241224.0000,3.7672,43.6000,140.1600,98676.0938
20241225.0000,3.7672,43.6000,140.1600,99299.1953
20241226.0000,3.7633,43.5400,140.1600,95795.5156
20241227.0000,3.7691,43.5500,140.1000,94164.8594
20241228.0000,3.7691,43.5500,140.1000,95163.9297
20241229.0000,3.7691,43.5500,140.1000,93530.2266
20241230.0000,3.7789,43.8500,138.7000,92643.2109
20241231.0000,3.7613,43.7200,139.3400,93429.2031
20250101.0000,3.7613,43.7200,139.3400,94419.7578
20250102.0000,3.7906,43.9600,138.8200,96886.8750
20250103.0000,3.7994,43.6200,139.2200,98107.4297
20250104.0000,3.7994,43.6200,139.2200,98236.2266
20250105.0000,3.7994,43.6200,139.2200,98314.9609
20250106.0000,3.8014,43.9500,141.3200,102078.0859
20250107.0000,3.8102,44.5000,139.9600,96922.7031
20250108.0000,3.8805,45.4400,139.0800,95043.5234
20250109.0000,3.8326,45.0000,138.9400,92484.0391
20250110.0000,3.7916,44.1300,136.8600,94701.4531
20250111.0000,3.7916,44.1300,136.8600,94566.5938
20250112.0000,3.7916,44.1300,136.8600,94488.4375
20250113.0000,3.7662,44.0700,136.2800,94516.5234
20250114.0000,3.7789,43.9000,137.1800,96534.0469
20250115.0000,3.7623,43.5000,139.0600,100504.4922
20250116.0000,3.7935,43.7800,140.0000,99756.9062
20250117.0000,3.7955,43.8500,141.1400,104462.0391
20250118.0000,3.7955,43.8500,141.1400,104408.0703
20250119.0000,3.7955,43.8500,141.1400,101089.6094
20250120.0000,3.7935,43.6200,141.9200,102016.6641
20250121.0000,3.7828,43.5300,142.1000,106146.2656
20250122.0000,3.7799,43.3200,143.1600,103653.0703
20250123.0000,3.7935,43.8100,143.3200,103960.1719
20250124.0000,3.7955,43.5100,144.1400,104819.4844
20250125.0000,3.7955,43.5100,144.1400,104714.6484
20250126.0000,3.7955,43.5100,144.1400,102682.5000
20250127.0000,3.7877,43.6000,141.6200,102087.6875
20250128.0000,3.7906,43.7300,142.3600,101332.4766
20250129.0000,3.7906,43.7300,142.8800,103703.2109
20250130.0000,3.7906,43.7300,143.4200,104735.3047
20250131.0000,3.8346,44.6100,144.4000,102405.0234
20250201.0000,3.8346,44.6100,144.4000,100655.9062
20250202.0000,3.8346,44.6100,144.4000,97688.9766
20250203.0000,3.8102,44.3100,142.0400,101405.4219
20250204.0000,3.8131,44.4200,143.0400,97871.8203
20250205.0000,3.8062,44.3200,143.2000,96615.4453
20250206.0000,3.8248,44.3200,144.0800,96593.2969
20250207.0000,3.8492,44.6800,143.4200,96529.0859
20250208.0000,3.8492,44.6800,143.4200,96482.4531
20250209.0000,3.8492,44.6800,143.4200,96500.0938
20250210.0000,3.8697,45.3800,143.8400,97437.5547
20250211.0000,3.8590,44.8500,144.0000,95747.4297
20250212.0000,3.8610,44.9600,143.3000,97885.8594
20250213.0000,3.8710,45.0600,145.0000,96623.8672
20250214.0000,3.8760,44.8400,145.6800,97508.9688
20250215.0000,3.8760,44.8400,145.6800,97580.3516
20250216.0000,3.8760,44.8400,145.6800,96175.0312
20250217.0000,3.8980,45.0000,146.1200,95773.3828
20250218.0000,3.9230,45.8000,146.0000,95539.5469
20250219.0000,3.9250,46.0400,145.7400,96635.6094
20250220.0000,3.9320,46.0800,145.3000,98333.9375
20250221.0000,3.9240,46.6200,145.4200,96125.5469
20250222.0000,3.9240,46.6200,145.4200,96577.7578
20250223.0000,3.9240,46.6200,145.4200,96273.9219
20250224.0000,3.9300,46.3500,143.8200,91418.1719
20250225.0000,3.9110,46.5500,142.2000,88736.1719
20250226.0000,3.9100,46.6700,144.1800,84347.0234
20250227.0000,3.9130,46.6100,142.9600,84704.2266
20250228.0000,3.8870,45.9000,141.2600,84373.0078
20250301.0000,3.8870,45.9000,141.2600,86031.9141
20250302.0000,3.8870,45.9000,141.2600,94248.3516
20250303.0000,3.9050,45.7700,142.8200,86065.6719
20250304.0000,3.8910,45.5300,138.8000,87222.1953
20250305.0000,3.9040,45.6200,140.2400,90623.5625
20250306.0000,3.9200,45.9600,141.5400,89961.7266
20250307.0000,3.9080,45.9800,139.2800,86742.6719
20250308.0000,3.9080,45.9800,139.2800,86154.5938
20250309.0000,3.9080,45.9800,139.2800,80601.0391
20250310.0000,3.8900,45.8500,138.1000,78532.0000
20250311.0000,3.8210,44.2300,136.5800,83020.0703
